CustomerID,Lookalikes
C0001,"[('C0120', 1.0), ('C0102', 1.0), ('C0153', 1.0)]"
C0002,"[('C0034', 1.0), ('C0176', 1.0), ('C0030', 1.0)]"
C0003,"[('C0031', 1.0), ('C0025', 1.0), ('C0076', 1.0)]"
C0004,"[('C0169', 1.0), ('C0165', 1.0), ('C0174', 1.0)]"
C0005,"[('C0146', 1.0), ('C0028', 1.0), ('C0007', 1.0)]"
C0006,"[('C0126', 1.0), ('C0171', 1.0), ('C0118', 1.0)]"
C0007,"[('C0146', 1.0), ('C0114', 1.0), ('C0054', 1.0)]"
C0008,"[('C0160', 1.0), ('C0038', 1.0), ('C0047', 1.0)]"
C0009,"[('C0198', 1.0), ('C0061', 1.0), ('C0103', 1.0)]"
C0010,"[('C0049', 1.0), ('C0091', 1.0), ('C0111', 1.0)]"
C0011,"[('C0153', 1.0), ('C0137', 1.0), ('C0087', 1.0)]"
C0012,"[('C0153', 1.0), ('C0191', 1.0), ('C0011', 1.0)]"
C0013,"[('C0099', 1.0), ('C0082', 1.0), ('C0171', 1.0)]"
C0014,"[('C0010', 1.0), ('C0119', 1.0), ('C0172', 1.0)]"
C0015,"[('C0131', 1.0), ('C0125', 1.0), ('C0139', 1.0)]"
C0016,"[('C0042', 1.0), ('C0185', 1.0), ('C0040', 1.0)]"
C0017,"[('C0161', 1.0), ('C0124', 1.0), ('C0165', 1.0)]"
C0018,"[('C0024', 1.0), ('C0156', 1.0), ('C0194', 1.0)]"
C0019,"[('C0073', 1.0), ('C0075', 1.0), ('C0142', 1.0)]"
C0020,"[('C0015', 1.0), ('C0026', 1.0), ('C0035', 1.0)]"
